metric,scope,mean,std,seed_0
A6_path_mmd2,native,0.00166643,0.0,0.0016664254379992194
A7_terminal_mmd2,native,0.00379415,0.0,0.0037941504108607305
A8_increment_mmd2,native,1.261e-05,0.0,1.2607203341730155e-05
A9_volatility_mmd,native,0.01483798,0.0,0.01483798228509059
A10_terminal_swd,native,0.13879812,0.0,0.1387981176685921
A11_path_swd,native,0.07402949,0.0,0.0740294893485802
A20_cov_error,native,1.47546766,0.0,1.4754676627200725
A25_mean_rmse,native,0.09680684,0.0,0.0968068385339466
A18_disc_score_gru,native,0.011798,0.0,0.011798
A18_disc_score_mlp,native,0.01546,0.0,0.01546
A1_kurtosis_error,per-asset-mean,37.85302734,0.0,37.853027337858585
A2_abs_r_q95_error,per-asset-mean,0.00023249,0.0,0.00023248535586640752
A3_abs_r_q99_error,per-asset-mean,0.00048746,0.0,0.000487461772617308
A4_tail_qq_error,per-asset-mean,0.00023657,0.0,0.0002365699944347535
A5_hill_tail_index_error,per-asset-mean,49.26334669,0.0,49.26334669179639
A12_rv_law_loss,per-asset-mean,0.00704169,0.0,0.007041687540536733
A13_mean_path_rmse,per-asset-mean,0.01982178,0.0,0.01982177693957818
A14_ks_logreturns,per-asset-mean,0.0911822,0.0,0.09118219811146652
A15_skewness_error,per-asset-mean,0.23936763,0.0,0.23936763435579783
A16_qq_rmse,per-asset-mean,0.00014268,0.0,0.00014267986127014051
A17_terminal_ks,per-asset-mean,0.04559326,0.0,0.045593261718750014
A21_acf_abs,per-asset-mean,0.03450786,0.0,0.03450785987225686
A22_acf_sq,per-asset-mean,0.03282045,0.0,0.03282045397912485
A23_acf_lag1_abs_error,per-asset-mean,0.03975126,0.0,0.039751262519013036
A24_acf_lag1_sq_error,per-asset-mean,0.03557547,0.0,0.03557546869128164
A26_std_error,per-asset-mean,0.01086994,0.0,0.010869940989815665
A27_logreturn_std_error,per-asset-mean,0.00010815,0.0,0.00010815383732753927
A28_kurtosis_ratio,per-asset-mean,11.94320005,0.0,11.943200054574863
A29_sigma_mean_error,per-asset-mean,0.00174202,0.0,0.001742024173214133
A30_vol_path_rmse,per-asset-mean,0.0952399,0.0,0.09523990033147668
A31_rolling_vol_ks,per-asset-mean,0.17854355,0.0,0.17854354568936315
A32_vol_of_vol_error,per-asset-mean,7.877e-05,0.0,7.877485042996017e-05
B_log_ret_hist_funct,per-asset-mean,115528.49368022,0.0,115528.49368021925
B_log_ret_hist_der,per-asset-mean,234009.2478168,0.0,234009.2478168027
B_log_ret_hist_sec_der,per-asset-mean,728233.25564882,0.0,728233.2556488158
B_log_ret_hist_funct_pct,per-asset-mean,170401921.03574568,0.0,170401921.03574568
B_log_ret_hist_der_pct,per-asset-mean,192.95504662,0.0,192.95504662064963
B_log_ret_hist_sec_der_pct,per-asset-mean,261932.59652319,0.0,261932.59652318637
B_log_ret_hist_funct_nrmse,per-asset-mean,8.27108499,0.0,8.271084990211694
B_log_ret_hist_der_nrmse,per-asset-mean,14.10074289,0.0,14.100742889888158
B_log_ret_hist_sec_der_nrmse,per-asset-mean,13.90503605,0.0,13.905036045619717
B_log_ret_hist_funct_cvar90,per-asset-mean,16.15813571,0.0,16.158135708069437
B_log_ret_hist_funct_cvar95,per-asset-mean,25.75032528,0.0,25.75032527965808
B_qq_plot_funct,per-asset-mean,3e-08,0.0,3.3803861887012805e-08
B_qq_plot_der,per-asset-mean,0.0,0.0,2.626320467104139e-09
B_qq_plot_sec_der,per-asset-mean,0.0,0.0,1.4653798177646821e-09
B_qq_plot_funct_pct,per-asset-mean,1065.65603327,0.0,1065.6560332705694
B_qq_plot_der_pct,per-asset-mean,215.38468459,0.0,215.38468459165273
B_qq_plot_sec_der_pct,per-asset-mean,64.84934432,0.0,64.84934431705503
B_qq_plot_funct_nrmse,per-asset-mean,6.66858116,0.0,6.668581155136973
B_qq_plot_der_nrmse,per-asset-mean,5.53417641,0.0,5.534176409212453
B_qq_plot_sec_der_nrmse,per-asset-mean,7.93342343,0.0,7.933423433730616
B_qq_plot_funct_cvar90,per-asset-mean,6.7183982,0.0,6.718398202557908
B_qq_plot_funct_cvar95,per-asset-mean,8.33003209,0.0,8.330032086227149
B_acf_abs_r_funct,per-asset-mean,0.00115833,0.0,0.0011583286267766385
B_acf_abs_r_der,per-asset-mean,0.00015749,0.0,0.00015748508509674322
B_acf_abs_r_sec_der,per-asset-mean,0.00055773,0.0,0.0005577264409273007
B_acf_abs_r_funct_pct,per-asset-mean,899.4796627,0.0,899.4796626997173
B_acf_abs_r_der_pct,per-asset-mean,118.12524462,0.0,118.12524461533134
