step,train_bce
50,0.695329
100,0.696843
150,0.69122
200,0.692868
250,0.693151
300,0.693733
350,0.693039
400,0.693149
450,0.693586
500,0.693226
550,0.693187
600,0.693264
650,0.693244
700,0.693632
750,0.693287
800,0.693254
850,0.692646
900,0.693733
950,0.696484
1000,0.693053
1050,0.693472
1100,0.693275
1150,0.693188
1200,0.692913
1250,0.693989
1300,0.693141
1350,0.692929
1400,0.691905
1450,0.692143
1500,0.693135
1550,0.693187
1600,0.69263
1650,0.693202
1700,0.693767
1750,0.694337
1800,0.693305
1850,0.693238
1900,0.693315
1950,0.692799
2000,0.692839
