step,train_bce
50,0.69363
100,0.692251
150,0.693492
200,0.692468
250,0.69365
300,0.693192
350,0.696631
400,0.693934
450,0.693959
500,0.694909
550,0.693022
600,0.692162
650,0.692913
700,0.694615
750,0.694291
800,0.693386
850,0.693086
900,0.69589
950,0.693201
1000,0.693238
1050,0.698353
1100,0.693685
1150,0.692441
1200,0.692002
1250,0.693245
1300,0.693215
1350,0.692895
1400,0.691455
1450,0.692564
1500,0.692454
1550,0.693279
1600,0.693264
1650,0.693041
1700,0.693724
1750,0.692765
1800,0.691851
1850,0.693138
1900,0.692255
1950,0.692876
2000,0.693055
