step,train_bce
50,0.692936
100,0.694018
150,0.693433
200,0.692688
250,0.696566
300,0.691375
350,0.695812
400,0.693653
450,0.691913
500,0.693776
550,0.693332
600,0.691297
650,0.693073
700,0.69316
750,0.690207
800,0.692967
850,0.692517
900,0.692724
950,0.693193
1000,0.692473
1050,0.694481
1100,0.693047
1150,0.692276
1200,0.69275
1250,0.692959
1300,0.695114
1350,0.69376
1400,0.693322
1450,0.693785
1500,0.693194
1550,0.69526
1600,0.692286
1650,0.692089
1700,0.693156
1750,0.692629
1800,0.693024
1850,0.694095
1900,0.693428
1950,0.691415
2000,0.69307
