step,train_bce
50,0.693941
100,0.69441
150,0.693596
200,0.693612
250,0.693251
300,0.69669
350,0.693146
400,0.691172
450,0.694
500,0.693338
550,0.692349
600,0.692499
650,0.693777
700,0.694067
750,0.692712
800,0.692156
850,0.693421
900,0.693094
950,0.693114
1000,0.69263
1050,0.692819
1100,0.692743
1150,0.6945
1200,0.693192
1250,0.69283
1300,0.695824
1350,0.693043
1400,0.692932
1450,0.693141
1500,0.693292
1550,0.693282
1600,0.693055
1650,0.694089
1700,0.692535
1750,0.693382
1800,0.692341
1850,0.693968
1900,0.693146
1950,0.693096
2000,0.691827
