step,train_bce
50,0.689298
100,0.690556
150,0.692665
200,0.693078
250,0.693268
300,0.694498
350,0.693284
400,0.693769
450,0.69377
500,0.693402
550,0.69319
600,0.693287
650,0.693557
700,0.691726
750,0.693098
800,0.694807
850,0.692952
900,0.692843
950,0.693256
1000,0.692029
1050,0.692633
1100,0.693154
1150,0.692806
1200,0.693355
1250,0.69303
1300,0.692138
1350,0.694145
1400,0.693169
1450,0.693248
1500,0.692964
1550,0.694944
1600,0.693111
1650,0.693151
1700,0.693027
1750,0.693281
1800,0.692069
1850,0.693189
1900,0.692918
1950,0.69356
2000,0.692591
