step,train_bce
50,0.693158
100,0.692349
150,0.690294
200,0.692726
250,0.69316
300,0.691604
350,0.692384
400,0.691553
450,0.697762
500,0.693951
550,0.691888
600,0.692137
650,0.69401
700,0.693027
750,0.694256
800,0.691553
850,0.693275
900,0.692024
950,0.694207
1000,0.692772
1050,0.692918
1100,0.693364
1150,0.693357
1200,0.693838
1250,0.692296
1300,0.693525
1350,0.692922
1400,0.692865
1450,0.693403
1500,0.690779
1550,0.693018
1600,0.692039
1650,0.693638
1700,0.694341
1750,0.693352
1800,0.692931
1850,0.692701
1900,0.69339
1950,0.69294
2000,0.692631
