metric,scope,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A6_path_mmd2,native,0.00780304,0.00052954,0.008450740913276356,0.007836968276430767,0.006881161842179129,0.008149759269922896,0.007696566804961558
A7_terminal_mmd2,native,0.01417691,0.00110482,0.015331707124473404,0.01541923314341287,0.012529358007147051,0.014141832435474955,0.013462417280351024
A8_increment_mmd2,native,5.06e-05,1.93e-06,5.0961436383945014e-05,5.0904793602146725e-05,4.707087242761254e-05,5.296676840393921e-05,5.111695809323358e-05
A9_volatility_mmd,native,0.04086249,0.0027983,0.04445232929586096,0.04200109307186639,0.03587576937735926,0.04080690813928789,0.04117637509837202
A10_terminal_swd,native,0.27323345,0.02104026,0.29988344145543033,0.2832513150642664,0.23581225899334995,0.27467157734526515,0.2725486626602216
A11_path_swd,native,0.13581416,0.00504058,0.1381372660687254,0.1359352926576017,0.12629054278320684,0.1410667081728727,0.13764099767194124
A20_cov_error,native,2.68980024,0.14949248,2.9213990283426754,2.658122472329142,2.4582297735171053,2.6670710639706923,2.744178865815387
A25_mean_rmse,native,0.05819605,0.0204803,0.09383398099108943,0.03562245235181754,0.04216639177080482,0.05437606006366583,0.06498138241805682
A18_disc_score_gru,native,0.0500408,0.08691867,0.008137,0.006916,0.000814,0.223759,0.010578
A18_disc_score_mlp,native,0.0084622,0.0035784,0.012205,0.007323,0.010578,0.010171,0.002034
A1_kurtosis_error,per-asset-mean,29.75292242,0.04771033,29.715511963183065,29.840849515457414,29.751762447715905,29.750951739944064,29.705536419232416
A2_abs_r_q95_error,per-asset-mean,0.00070174,1.226e-05,0.0007211420259189817,0.0007050100288107373,0.0006832930764867585,0.0007023874244404369,0.0006968441924763644
A3_abs_r_q99_error,per-asset-mean,0.0016393,2.979e-05,0.001683816384996451,0.0016493052956719151,0.0015914214369911076,0.0016314239022391435,0.0016405124184744552
A4_tail_qq_error,per-asset-mean,0.00071744,1.217e-05,0.0007368629505786291,0.0007205053498895321,0.0006991643240602318,0.0007176515987070734,0.0007130374243410052
A5_hill_tail_index_error,per-asset-mean,104.46775591,2.72906034,108.70525744521207,102.67066258574393,100.77127562644594,104.20134715130403,105.99023675822096
A12_rv_law_loss,per-asset-mean,0.01989333,0.00035646,0.020465406823955323,0.01997099942346235,0.01935039385211829,0.019867588168184812,0.019812260661423088
A13_mean_path_rmse,per-asset-mean,0.01212895,0.00424504,0.020027563675309494,0.00958056223717994,0.008100772499775631,0.012903039710465133,0.010032795177352893
A14_ks_logreturns,per-asset-mean,0.12395209,0.00046989,0.12480680210383858,0.12398274739583331,0.12357616674868768,0.12392251322588582,0.12347219872662404
A15_skewness_error,per-asset-mean,0.24399188,0.0086082,0.24210728329683653,0.23550531271821307,0.23917428598503263,0.24274395484371608,0.2604285814692841
A16_qq_rmse,per-asset-mean,0.00033625,4.62e-06,0.0003436253383387091,0.0003373590033098318,0.0003293376716622279,0.00033646232395859654,0.00033446977712568715
A17_terminal_ks,per-asset-mean,0.05556641,0.00224882,0.05954996744791666,0.055806477864583336,0.05275472005208332,0.05438232421875,0.055338541666666664
A21_acf_abs,per-asset-mean,0.05079193,0.00105178,0.05237993651813486,0.05134107608444842,0.04920007102587916,0.05040698363511409,0.050631564903561174
A22_acf_sq,per-asset-mean,0.04414835,0.00078981,0.04538634317955074,0.044512449000752866,0.0430443419764841,0.043663797513209916,0.044134794522549974
A23_acf_lag1_abs_error,per-asset-mean,0.05697515,0.00093319,0.05854071725322504,0.05711487072240341,0.05565213790983563,0.05695766288938538,0.05661038188649685
A24_acf_lag1_sq_error,per-asset-mean,0.05480113,0.00078993,0.056191868312683135,0.05477445979255682,0.05377555738040121,0.05482684775589263,0.05443690909965815
A26_std_error,per-asset-mean,0.03731262,0.00059011,0.038285342250772056,0.03736677835388273,0.03643378441836598,0.03730454069142737,0.037172672926040755
A27_logreturn_std_error,per-asset-mean,0.00037209,5.66e-06,0.00038129752681348016,0.0003731423232057183,0.00036362604280268645,0.00037194584842092937,0.000370415972486754
A28_kurtosis_ratio,per-asset-mean,3.3232705,0.0158045,3.3006220864599105,3.329298167780309,3.3357046951200084,3.341738394999394,3.308989180456201
A29_sigma_mean_error,per-asset-mean,0.00505366,6.954e-05,0.005163678199662004,0.005071469309029762,0.004952641847491911,0.005064666450440979,0.005015832060621464
A30_vol_path_rmse,per-asset-mean,0.25597461,0.00901471,0.2696735697668399,0.25647030409876104,0.24288702473120502,0.25059820022097723,0.26024392997225565
A31_rolling_vol_ks,per-asset-mean,0.27357373,0.00086271,0.27425461022188347,0.2736105156461721,0.2727808344977981,0.27475695106072157,0.2724657343008977
A32_vol_of_vol_error,per-asset-mean,0.00022594,3.81e-06,0.00023214823575639433,0.00022705195875706365,0.00022037793685267357,0.00022470398848251186,0.0002254265258814502
