step,train_bce
50,0.694757
100,0.692062
150,0.694006
200,0.695617
250,0.694591
300,0.694803
350,0.693353
400,0.696265
450,0.69288
500,0.693049
550,0.69273
600,0.693037
650,0.690673
700,0.694112
750,0.693542
800,0.693686
850,0.69127
900,0.693181
950,0.693596
1000,0.693166
1050,0.6951
1100,0.69453
1150,0.69334
1200,0.6931
1250,0.69286
1300,0.692256
1350,0.689558
1400,0.692246
1450,0.691741
1500,0.693413
1550,0.692585
1600,0.693203
1650,0.693534
1700,0.694512
1750,0.693086
1800,0.693525
1850,0.693686
1900,0.692391
1950,0.693997
2000,0.693826
