step,train_bce
50,0.694236
100,0.69312
150,0.693246
200,0.693206
250,0.692705
300,0.693001
350,0.689753
400,0.690677
450,0.692678
500,0.693037
550,0.692425
600,0.692573
650,0.692839
700,0.693223
750,0.69456
800,0.69319
850,0.692011
900,0.693201
950,0.693345
1000,0.693172
1050,0.691455
1100,0.693054
1150,0.692555
1200,0.692438
1250,0.692965
1300,0.693048
1350,0.69347
1400,0.694234
1450,0.694976
1500,0.69494
1550,0.693398
1600,0.692343
1650,0.692512
1700,0.69273
1750,0.693707
1800,0.693143
1850,0.693437
1900,0.693446
1950,0.693605
2000,0.692523
