step,calibration_nll,validation_nll
1,17818.1021190518,14617.5859605613
10,905.3674426432,387.7493030500
20,-0.1249773457,-0.1592032485
30,17.3100972303,-0.6582755019
40,-0.7463302940,-0.7413785974
50,-0.8122741206,-0.8044779609
60,-0.8753555502,-0.8643419733
70,-0.9303029053,-0.9129458760
80,-0.9749049716,-0.9506728577
90,-1.0095710510,-0.9813958937
100,-1.0379113285,-1.0072542667
110,-1.0649538433,-1.0340769725
120,-1.0921289767,-1.0621600942
130,-1.1188322916,-1.0900914976
140,-1.1452197969,-1.1178150324
150,-1.1722413673,-1.1459092365
160,-1.2002325763,-1.1748884308
170,-1.2290893488,-1.2050526600
180,-1.2582418210,-1.2356685472
190,-1.2859590101,-1.2645784832
200,-1.3097284987,-1.2891825238
210,-1.3299503668,-1.3098020152
220,-1.3482662966,-1.3286411743
230,-1.3646294391,-1.3452976477
240,-1.3791690386,-1.3599042584
250,-1.3921527741,-1.3730761071
260,-1.4038013159,-1.3849163201
270,-1.4144268628,-1.3958986616
280,-1.4247125168,-1.4061614136
290,-1.4345837387,-1.4162737843
300,-1.4439056068,-1.4262007206
