metric,scope,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A6_path_mmd2,native,0.0014907,0.00012582,0.001300482979369466,0.001397999457362964,0.0016556131602332158,0.0015391530687505206,0.0015602292145859842
A7_terminal_mmd2,native,0.00301708,0.00021113,0.0031862869511047887,0.0029714761354737718,0.0030771768467026117,0.0026322416848496566,0.003218234005150755
A8_increment_mmd2,native,1.156e-05,1.23e-06,1.257137776966566e-05,1.0122902107223553e-05,1.0172864091773093e-05,1.1766981071303917e-05,1.3160645582210861e-05
A9_volatility_mmd,native,0.01138131,0.00166419,0.014023464812861874,0.009023582288648191,0.011702620312333822,0.01036391710761242,0.011792964064323508
A10_terminal_swd,native,0.11280675,0.01171205,0.13366131655725533,0.10717996655988506,0.1073994732157723,0.09947546491020129,0.11631752478671807
A11_path_swd,native,0.07202672,0.00264347,0.07658768487868267,0.06831034132629937,0.07163191318591505,0.07161651723873341,0.07198712894439328
A20_cov_error,native,1.64889427,0.34961098,1.5426906722064457,2.1762077287701773,1.9225101901144885,1.3545070684059985,1.248555678973126
A25_mean_rmse,native,0.04790579,0.01846341,0.0837161348634837,0.03270093300751934,0.04061829626243484,0.04620294249803738,0.0362906562150157
A18_disc_score_gru,native,0.0101708,0.0077877,0.006916,0.006916,0.025631,0.004475,0.006916
A18_disc_score_mlp,native,0.006428,0.00289299,0.010171,0.008544,0.002034,0.006916,0.004475
A1_kurtosis_error,per-asset-mean,42.47840037,0.5252607,42.583422534231794,42.821441130602075,41.45179786322777,42.88916225095207,42.64617805974501
A2_abs_r_q95_error,per-asset-mean,0.00017599,2.956e-05,0.00019723716961124325,0.00021591057968132213,0.0001824127693175526,0.00014157464694982,0.00014283117151214094
A3_abs_r_q99_error,per-asset-mean,0.00038937,5.91e-05,0.00039911871689322193,0.00048057563184298257,0.00041711554414875445,0.0003240893829546709,0.0003259606390978043
A4_tail_qq_error,per-asset-mean,0.00018605,3.014e-05,0.00020719288176004126,0.00022703713224996093,0.0001925569662248924,0.00014902100174500518,0.00015441952157291405
A5_hill_tail_index_error,per-asset-mean,34.1047949,7.22761011,45.800470527236605,26.629632360126724,32.65284904656335,27.126575869799264,38.31444671787599
A12_rv_law_loss,per-asset-mean,0.0059442,0.00059079,0.006719467257769717,0.006449238398558139,0.005982260283519354,0.005188594420516465,0.00538145990232798
A13_mean_path_rmse,per-asset-mean,0.01192111,0.00277165,0.017417858909483188,0.010582477093840689,0.009881969388958403,0.010883262938501965,0.010839967137603594
A14_ks_logreturns,per-asset-mean,0.06814112,0.00264456,0.07189845287893701,0.06491993981709318,0.0662960342847769,0.06703294168307086,0.07055824259760499
A15_skewness_error,per-asset-mean,0.36690653,0.00468459,0.3627533857580977,0.3755323632284263,0.36308188655499773,0.36531064354601783,0.3678543483257197
A16_qq_rmse,per-asset-mean,0.00011042,1.004e-05,0.00012242947328488054,0.00012013358945053143,0.00010984030070483288,9.529350109459355e-05,0.00010438876163526337
A17_terminal_ks,per-asset-mean,0.06109212,0.00355703,0.05659993489583332,0.0648193359375,0.06477864583333333,0.06201171875,0.05725097656250001
A21_acf_abs,per-asset-mean,0.03239828,0.00163336,0.03433419856901714,0.03000196091787688,0.031449711583965784,0.032113605799261785,0.03409192849969521
A22_acf_sq,per-asset-mean,0.03097645,0.00141598,0.0327001049839444,0.028669535544060643,0.030225232483790256,0.031271286257405786,0.032016082207515686
A23_acf_lag1_abs_error,per-asset-mean,0.04184972,0.00251649,0.043846710070732105,0.037342731537403626,0.04159122306760224,0.04191802738229226,0.0445499271863806
A24_acf_lag1_sq_error,per-asset-mean,0.03853884,0.00270201,0.041175281491512145,0.03338815609222642,0.03861287169120142,0.03961546117945133,0.03990243935715529
A26_std_error,per-asset-mean,0.00933388,0.00157033,0.010545570136886886,0.011557319716060794,0.00930728104032824,0.007861922185455578,0.007397295393321134
A27_logreturn_std_error,per-asset-mean,9.35e-05,1.559e-05,0.00010557157408011454,0.00011547356744521584,9.335103746170595e-05,7.899566843459671e-05,7.408450073576702e-05
A28_kurtosis_ratio,per-asset-mean,15.65078436,1.0449037,13.842154685545644,15.976572540966174,15.389259912021643,17.018970428451077,16.026964238071525
A29_sigma_mean_error,per-asset-mean,0.00138157,0.00019083,0.0016002653082195636,0.0015810772831081547,0.0013416469741466801,0.0010892080550597874,0.001295638278345169
A30_vol_path_rmse,per-asset-mean,0.07295307,0.00963633,0.080938621694021,0.08597112143932825,0.07343331560324826,0.06205711560538238,0.06236519658905206
A31_rolling_vol_ks,per-asset-mean,0.15114898,0.00645923,0.156493809811145,0.15875889227642279,0.15159147929369918,0.14043842098577236,0.14846231103912605
A32_vol_of_vol_error,per-asset-mean,8.856e-05,1.052e-05,8.833047055263401e-05,0.00010562894687228717,9.284360381230363e-05,8.11407270062424e-05,7.484402426704477e-05
B_log_ret_hist_funct,per-asset-mean,99723.98412447,716.37553016,100798.6069666121,98667.73563306048,99377.45260269222,99641.51990175509,100134.60551823565
B_log_ret_hist_der,per-asset-mean,198251.13198669,270.90255023,198621.7129149331,198109.5450278562,198010.43535231633,197981.70117178658,198532.26546656323
B_log_ret_hist_sec_der,per-asset-mean,610797.53510221,1057.48960546,612075.078520057,610681.3829129153,610097.968739012,609272.4475242896,611860.7978147678
B_log_ret_hist_funct_pct,per-asset-mean,861700323.9547908,24308071.1837315,844785233.7170318,900875994.5565951,876089413.2283747,854665155.7855579,832085822.4863948
B_log_ret_hist_der_pct,per-asset-mean,25968059.65030372,2392179.99346706,25064983.795437,30001412.848290622,27085234.262976784,24638260.121386733,23050407.223427463
B_log_ret_hist_sec_der_pct,per-asset-mean,10493487.1247086,1776133.13874161,7430653.576571271,10299847.908284714,11288244.540442858,10563927.080419429,12884762.517824724
B_log_ret_hist_funct_nrmse,per-asset-mean,6.94124824,0.19202993,7.198395535380754,6.669768223446198,6.797752268807345,6.944316369424737,7.096008805343429
B_log_ret_hist_der_nrmse,per-asset-mean,15.22682097,0.08655249,15.108925603587632,15.25585823400316,15.15918445957503,15.35935550203645,15.250781059696518
B_log_ret_hist_sec_der_nrmse,per-asset-mean,14.41421912,0.10745668,14.228682983183724,14.501378917609058,14.379451503329673,14.533903040815915,14.42767915364326
B_log_ret_hist_funct_cvar90,per-asset-mean,14.15579291,0.42847319,14.857894309869815,13.678548817142394,13.827719970812657,14.002121089479152,14.412680380002794
B_log_ret_hist_funct_cvar95,per-asset-mean,21.93390887,0.75873354,23.024792714332428,20.869990121555823,21.38257687608066,21.956316385456894,22.435868247422356
B_qq_plot_funct,per-asset-mean,2e-08,0.0,2.675037194848591e-08,1.8555659980589507e-08,1.517011972869741e-08,1.2119569541912691e-08,1.7057184277684245e-08
B_qq_plot_der,per-asset-mean,0.0,0.0,2.5249041012027747e-09,1.870086237259539e-09,1.782579416357877e-09,1.4584293686856156e-09,1.7802023468706798e-09
B_qq_plot_sec_der,per-asset-mean,0.0,0.0,1.6500269126784183e-09,1.4385192670429844e-09,1.5233474674272981e-09,1.349161597868229e-09,1.441426169976713e-09
B_qq_plot_funct_pct,per-asset-mean,720.80752806,22.4571868,737.6590624474311,683.8418920011272,709.0874112043628,726.0680932730322,747.3811813659336
B_qq_plot_der_pct,per-asset-mean,158.57949815,5.19487111,164.20024080347068,150.3694704016633,155.7635241881191,158.69388465373655,163.87037069048887
B_qq_plot_sec_der_pct,per-asset-mean,62.77493989,1.83138472,65.31090765151424,60.02633642966448,63.5598784635719,61.48778830326639,63.48978859429954
B_qq_plot_funct_nrmse,per-asset-mean,5.10259491,0.41090423,5.680267804852901,5.406790349874899,5.0376953509122995,4.494060977991429,4.894160058738702
B_qq_plot_der_nrmse,per-asset-mean,5.13556471,0.24825348,5.224470843984776,5.492472998134262,5.253479245662991,4.859273124381381,4.8481273321022105
B_qq_plot_sec_der_nrmse,per-asset-mean,7.13214747,0.15906668,7.245018863996213,7.31852079935884,7.213166942894285,6.93275578606037,6.951274951553261
B_qq_plot_funct_cvar90,per-asset-mean,5.1892613,0.54277294,5.741341036385824,5.808234363194793,5.219052098931064,4.411086205058098,4.7665928093959025
B_qq_plot_funct_cvar95,per-asset-mean,6.51989187,0.69931282,7.157931478318803,7.407043296170553,6.552953982220533,5.60680571100181,5.874724886873677
B_acf_abs_r_funct,per-asset-mean,0.00101819,7.776e-05,0.0011129668543742287,0.0009054159628577765,0.0009637677001518919,0.0010160423578868822,0.0010927801588890497
B_acf_abs_r_der,per-asset-mean,0.00021923,6.64e-06,0.00022334590967070325,0.00023011150946897484,0.00021277444587072662,0.00021304578498237858,0.00021689272943187847
