metric,scope,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A6_path_mmd2,native,0.00166772,0.00026655,0.0020849037231036593,0.0018267541970133916,0.0016109637915207031,0.0013137641135743117,0.0015021918544697588
A7_terminal_mmd2,native,0.00517283,0.00047314,0.0056047816781910065,0.0055037479810062795,0.0054054873379978385,0.004305235783168104,0.005044877836751782
A8_increment_mmd2,native,1.398e-05,9.5e-07,1.505924004896464e-05,1.2889016646200346e-05,1.2809154290138736e-05,1.4777865057880035e-05,1.4363995548771769e-05
A9_volatility_mmd,native,0.0445719,0.00173484,0.04749248075525414,0.04344219261834126,0.04235099233539885,0.04511662760208357,0.044457215081314505
A10_terminal_swd,native,0.12630156,0.0036123,0.12389567287395048,0.13094691903003886,0.12068067336006746,0.1274609683615596,0.128523542814793
A11_path_swd,native,0.07995162,0.00253314,0.07924553535391496,0.08225789413021901,0.07534357467803765,0.08095109028671976,0.08195998312110514
A20_cov_error,native,1.43058654,0.10728441,1.4151256052224181,1.4339523574364172,1.5490670428934272,1.51451204109233,1.2402756422892665
A25_mean_rmse,native,0.06716871,0.00800367,0.06015444999815716,0.08264858309165503,0.06620485228797546,0.06232236475309009,0.0645132860095226
A18_disc_score_gru,native,0.017006,0.00637778,0.020749,0.015867,0.010171,0.027258,0.010985
A18_disc_score_mlp,native,0.006591,0.00473316,0.001221,0.015053,0.003662,0.005289,0.00773
A1_kurtosis_error,per-asset-mean,115.45789522,49.48655678,175.20850859009363,92.41330458363613,37.87656318393211,110.5070779013783,161.28402185959845
A2_abs_r_q95_error,per-asset-mean,0.00014299,1.31e-06,0.00014120039196002283,0.00014447403470987382,0.0001439779581028591,0.00014166842643663097,0.0001436352349734105
A3_abs_r_q99_error,per-asset-mean,0.00030534,7.58e-06,0.00030909883006874725,0.00029875271255419084,0.0003009799769354805,0.00029931757270766114,0.0003185578519956775
A4_tail_qq_error,per-asset-mean,0.00016101,1.12e-06,0.00015968155531487964,0.000162266680074689,0.00016191973317243385,0.00015965497092053057,0.0001615162519425632
A5_hill_tail_index_error,per-asset-mean,56.56374547,16.9600165,64.24743159333715,43.20555571574474,86.61156781853956,45.02112487056458,43.73304733816816
A12_rv_law_loss,per-asset-mean,0.0067334,0.00044364,0.006598749089811426,0.0064268156634562455,0.006610768766717685,0.006424606127290669,0.007606076733414297
A13_mean_path_rmse,per-asset-mean,0.01428346,0.00152151,0.014372522001899209,0.016509241902316923,0.012840669743038543,0.015288088728568195,0.012406757193975186
A14_ks_logreturns,per-asset-mean,0.06754878,0.00024419,0.06800021274196194,0.06752282490567585,0.06749943610564303,0.06725946060941601,0.06746194994668636
A15_skewness_error,per-asset-mean,0.9626659,0.22624518,1.0717432355317085,0.8888074914758676,0.5536848573470079,1.1224644636181538,1.1766294655288254
A16_qq_rmse,per-asset-mean,9.906e-05,6.5e-07,9.926848458986244e-05,9.91707475734176e-05,9.87697660317571e-05,9.80550433112531e-05,0.00010005755800456326
A17_terminal_ks,per-asset-mean,0.06416829,0.00145122,0.06469726562500001,0.06445312500000003,0.0655517578125,0.06136067708333334,0.06477864583333334
A21_acf_abs,per-asset-mean,0.06138745,0.00068177,0.06231275734229483,0.06192918908517622,0.060487400616158496,0.06078494913380165,0.061422952492072413
A22_acf_sq,per-asset-mean,0.04553188,0.00047565,0.045704518871996704,0.0463534074042929,0.04504548435183886,0.04510332676317849,0.04545264546757159
A23_acf_lag1_abs_error,per-asset-mean,0.14824686,0.0008784,0.14931572837547705,0.14850422338545216,0.1467377999948509,0.14875973097464595,0.14791683669954683
A24_acf_lag1_sq_error,per-asset-mean,0.11097368,0.00068393,0.11107535679845415,0.11196521335403223,0.11003675467540622,0.1113726682148451,0.11041841734183243
A26_std_error,per-asset-mean,0.0096848,0.00061493,0.010528733222562373,0.009204772668981757,0.00908700702637874,0.00927101985204731,0.010332471031895971
A27_logreturn_std_error,per-asset-mean,9.71e-05,6.47e-06,0.00010570093943930022,9.157154676129602e-05,9.104048846214621e-05,9.294221352011686e-05,0.0001042466992072697
A28_kurtosis_ratio,per-asset-mean,0.99931987,0.71683102,0.9091256711724582,0.7042105793093831,2.3524452749804223,0.8109770750212617,0.21984075419361881
A29_sigma_mean_error,per-asset-mean,0.0015102,3.119e-05,0.0015502490238095152,0.0014810433274206026,0.0014849978517427278,0.0014884314351908184,0.0015462785017565438
A30_vol_path_rmse,per-asset-mean,0.06963116,0.00410288,0.07612370526123657,0.07128926390052163,0.06614440072824287,0.06445033297756353,0.07014807868278944
A31_rolling_vol_ks,per-asset-mean,0.13728127,0.00066978,0.13650769076050134,0.138231561758977,0.13715443184705284,0.1366545721121274,0.13785807291666669
A32_vol_of_vol_error,per-asset-mean,6.512e-05,4.77e-06,7.311005701641321e-05,5.865720374713703e-05,6.484294210805719e-05,6.255804947541443e-05,6.640682350633187e-05
B_log_ret_hist_funct,per-asset-mean,81484.60143479,168.24949691,81216.39644010318,81747.49281479642,81496.93800117061,81468.50390708575,81493.67601080143
