metric,scope,mean,std,seed_0,seed_1,seed_2
A6_path_mmd2,native,0.0014786,0.00067338,0.000964178654099257,0.0010417687163093436,0.0024298426773194937
A7_terminal_mmd2,native,0.00229034,0.00075237,0.001804955936785202,0.001713027352010732,0.0033530304047617587
A8_increment_mmd2,native,1.462e-05,1.31e-06,1.6468484216103363e-05,1.3516811639302517e-05,1.38802850446762e-05
A9_volatility_mmd,native,0.00411616,0.00086332,0.003677257665307687,0.003348943660514081,0.005322281324679823
A10_terminal_swd,native,0.09177375,0.00361645,0.09057091018209366,0.08807017627458291,0.09668017006110909
A11_path_swd,native,0.06659971,0.00510156,0.0655642153858629,0.06093403112043042,0.07330087217583023
A20_cov_error,native,1.50003261,0.1876997,1.2348448285809561,1.6427924103218143,1.6224606028952362
A25_mean_rmse,native,0.04552947,0.01687179,0.054988454628780103,0.059770513900785124,0.02182943246037817
A18_disc_score_gru,native,0.00393267,0.00138308,0.005289,0.004475,0.002034
A18_disc_score_mlp,native,0.00854367,0.00332192,0.004475,0.012612,0.008544
A1_kurtosis_error,per-asset-mean,375.38694521,288.61819718,247.20951287942236,103.87380649478871,775.0775162459169
A2_abs_r_q95_error,per-asset-mean,0.00020869,3.254e-05,0.00018652712499210748,0.00018485321043347226,0.0002546983036032897
A3_abs_r_q99_error,per-asset-mean,0.00041884,3.912e-05,0.0003778774732726758,0.0004715296151172522,0.0004071161170416854
A4_tail_qq_error,per-asset-mean,0.00022226,2.726e-05,0.0001992527347365403,0.00020698094506945764,0.0002605465863957992
A5_hill_tail_index_error,per-asset-mean,39.05241399,3.17222906,36.768647879777376,43.53837616041433,36.850217943709964
A12_rv_law_loss,per-asset-mean,0.00821752,0.00081273,0.00811975930772188,0.009258181433239348,0.0072746332578582365
A13_mean_path_rmse,per-asset-mean,0.01117371,0.00236077,0.01020791746196405,0.014424331055184328,0.0088888834514259
A14_ks_logreturns,per-asset-mean,0.10317419,0.00619957,0.0955310731422244,0.10327564950377299,0.110715851070374
A15_skewness_error,per-asset-mean,1.74709515,0.76704301,1.5307685762908059,0.9346963308019387,2.7758205380169167
A16_qq_rmse,per-asset-mean,0.00013509,8.82e-06,0.0001243605455386569,0.00013493583278892813,0.00014595985136429187
A17_terminal_ks,per-asset-mean,0.05635579,0.00793801,0.04524739583333334,0.060506184895833356,0.06331380208333336
A21_acf_abs,per-asset-mean,0.01496943,0.00037507,0.015415643886082405,0.014994700102787153,0.014497949136684242
A22_acf_sq,per-asset-mean,0.00988992,0.00042767,0.01039888908747508,0.00991840386337451,0.00935247692367578
A23_acf_lag1_abs_error,per-asset-mean,0.02680339,0.00150949,0.02839958596338039,0.027232885108768118,0.024777713836657642
A24_acf_lag1_sq_error,per-asset-mean,0.01998298,0.00187389,0.021480815519330832,0.021127355881199072,0.01734076404016697
A26_std_error,per-asset-mean,0.01427197,0.00058149,0.013880871572539123,0.01384103775531929,0.0150939940388094
A27_logreturn_std_error,per-asset-mean,0.00014041,5.39e-06,0.00013593474135270502,0.00013729754470160596,0.00014799889149684194
A28_kurtosis_ratio,per-asset-mean,0.42823546,0.05091112,0.4011810330939785,0.3839789717820921,0.49954637298234766
A29_sigma_mean_error,per-asset-mean,0.00183416,0.00020517,0.00168827243862717,0.0016898967343646706,0.0021243123752871925
A30_vol_path_rmse,per-asset-mean,0.10599434,0.00467647,0.0996674710121834,0.1108257386194846,0.10748980439170239
