metric,scope,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A6_path_mmd2,native,0.00579488,0.00060898,0.006743007888150299,0.0061752032391448886,0.005462654934430322,0.004977327863469938,0.005616220775402692
A7_terminal_mmd2,native,0.01115573,0.00097423,0.012747002049714684,0.011815534700076347,0.010579015281265036,0.010466588119439901,0.010170518146864982
A8_increment_mmd2,native,4.365e-05,2.38e-06,4.6540892279400836e-05,4.5192677159633377e-05,4.086676175285575e-05,4.075896062372131e-05,4.486910631440466e-05
A9_volatility_mmd,native,0.03662923,0.00269863,0.041786925779219164,0.03670690118695119,0.03531023696137958,0.034225822173304055,0.035116283334804654
A10_terminal_swd,native,0.24062066,0.02022667,0.26897639734268675,0.25721827293116745,0.22621139128757292,0.2132663079835907,0.237430920727658
A11_path_swd,native,0.12287187,0.00823074,0.1348887489437498,0.12812210040260508,0.1159341144673854,0.11199427743691963,0.12342012386324053
A20_cov_error,native,2.58861725,0.17684914,2.7928016124758246,2.719502019312507,2.3469988955018493,2.409963728012393,2.673819976393122
A25_mean_rmse,native,0.06837138,0.01306648,0.0893039719149522,0.06450007277104314,0.0574694870270096,0.0767521266454275,0.05383122235641766
A18_disc_score_gru,native,0.1820178,0.20794772,0.44467,0.002848,0.014239,0.019935,0.428397
A18_disc_score_mlp,native,0.009683,0.00893701,0.010985,0.001221,0.001221,0.009357,0.025631
A1_kurtosis_error,per-asset-mean,34.4382406,0.12098573,34.58792547872201,34.35105414382984,34.482339078381514,34.518273639623985,34.251610659133505
A2_abs_r_q95_error,per-asset-mean,0.00063569,1.232e-05,0.0006567905145237022,0.0006333658891266406,0.0006228158670013798,0.0006248245435304686,0.0006406465964859226
A3_abs_r_q99_error,per-asset-mean,0.00154012,3.66e-05,0.001580778103523802,0.0015444365555580515,0.0015090910012058951,0.0014886120373538577,0.0015776959473426553
A4_tail_qq_error,per-asset-mean,0.00065292,1.158e-05,0.000672593292052503,0.0006513988340448094,0.00064221363907558,0.0006408759916374599,0.0006574966784920084
A5_hill_tail_index_error,per-asset-mean,97.39546976,3.34918637,102.15930628937306,97.38247062707678,93.10837919779766,94.43373708400716,99.89345558592044
A12_rv_law_loss,per-asset-mean,0.01815432,0.00037276,0.01870419759678806,0.01812627326202959,0.017790510380734998,0.017724062110911206,0.018426558821393043
A13_mean_path_rmse,per-asset-mean,0.01504244,0.00286264,0.02045188964679219,0.014081237892630013,0.013848056194601797,0.014841569730222923,0.011989455786964021
A14_ks_logreturns,per-asset-mean,0.10380577,0.0003755,0.10447232303969817,0.10385235964156825,0.10339163232037402,0.10380173730725065,0.10351081908218501
A15_skewness_error,per-asset-mean,0.37018418,0.02140398,0.34210112451399044,0.3807081250559509,0.3469626287781768,0.38737551352452265,0.39377351940467564
A16_qq_rmse,per-asset-mean,0.0003044,4.66e-06,0.00031212100544053865,0.00030388886499458896,0.0002999451699524717,0.0002994719404701055,0.00030655243283865606
A17_terminal_ks,per-asset-mean,0.06655273,0.00120283,0.06819661458333336,0.06612141927083334,0.0654296875,0.0677490234375,0.06526692708333334
A21_acf_abs,per-asset-mean,0.05317271,0.00108628,0.0548194871800564,0.05318191909131408,0.05153552822025187,0.05265956426222085,0.053667058815074206
A22_acf_sq,per-asset-mean,0.04524132,0.00086392,0.04657508907770644,0.04508415704714081,0.04402074939657035,0.044795649791572946,0.04573095512814754
A23_acf_lag1_abs_error,per-asset-mean,0.06838901,0.0013426,0.07086156705040414,0.06717877913813786,0.06719984214171568,0.0682579880931943,0.06844686640215941
A24_acf_lag1_sq_error,per-asset-mean,0.06341929,0.00147825,0.06603621914782468,0.0617876928311332,0.06224010970566681,0.06345937026691231,0.06357307000560891
A26_std_error,per-asset-mean,0.03324089,0.00059073,0.03411271748250227,0.03319614031225146,0.032626215848056556,0.03259508820393799,0.03367426632627845
A27_logreturn_std_error,per-asset-mean,0.00033153,5.55e-06,0.00033946440816926357,0.0003312439734402058,0.00032592868075032163,0.00032513316229419405,0.0003358709130052932
A28_kurtosis_ratio,per-asset-mean,3.57089515,0.05113234,3.596348971531685,3.5344747638762364,3.5855649289393696,3.6427869634788923,3.4953001416960845
A29_sigma_mean_error,per-asset-mean,0.00448816,6.335e-05,0.004597117068578292,0.004470454669648394,0.00441638056853022,0.004442790448127977,0.004514032249174331
A30_vol_path_rmse,per-asset-mean,0.21539851,0.0125983,0.22691387526332457,0.22225926681479463,0.2024470820968468,0.19799843065730327,0.22737390282716735
A31_rolling_vol_ks,per-asset-mean,0.24247782,0.00087189,0.24391037855691058,0.24213357734163282,0.2423846650575881,0.24273069634993225,0.24122979388973578
