metric,scope,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A6_path_mmd2,native,0.00216313,0.00107309,0.004072059297032693,0.0013270521892603249,0.0012780442479027876,0.001515381519711978,0.0026231244784171714
A7_terminal_mmd2,native,0.00418599,0.00137743,0.0067442810503322015,0.003048318515929349,0.003479660665475226,0.0031604899520727425,0.004497223537345274
A8_increment_mmd2,native,1.203e-05,2.27e-06,1.4706689153376473e-05,9.453713202045577e-06,9.966171621300646e-06,1.1306081380668687e-05,1.471771644245834e-05
A9_volatility_mmd,native,0.01196876,0.00326561,0.017408820245381484,0.008448487582957132,0.009861592211660941,0.010208161043824715,0.013916747521621309
A10_terminal_swd,native,0.13212786,0.03274556,0.19025460183398452,0.10681749305132295,0.11445257890362598,0.10316825084377886,0.14594635391452043
A11_path_swd,native,0.08289982,0.01830393,0.11483312110851243,0.07125923773136866,0.0677626486213895,0.06854267175679896,0.09210139986116483
A20_cov_error,native,1.20642886,0.22608247,1.6063457144869018,1.1885626783680363,1.1653614790887203,0.9027223456171846,1.1691520853034556
A25_mean_rmse,native,0.07817002,0.02516029,0.1265329529577927,0.05591651936328955,0.061149440972471006,0.07357430289364097,0.07367687841976843
A18_disc_score_gru,native,0.0734744,0.13556267,0.344589,0.004475,0.00773,0.006103,0.004475
A18_disc_score_mlp,native,0.0069162,0.00482741,0.011798,0.000407,0.008544,0.011798,0.002034
A1_kurtosis_error,per-asset-mean,30.79748274,0.5252607,30.902504906176013,31.14052350254629,29.770880235171987,31.208244622896284,30.965260431689224
A2_abs_r_q95_error,per-asset-mean,0.00022353,5.31e-05,0.0002987632775971593,0.000164643886155957,0.00019468462712253184,0.00018472171074867362,0.0002748152580656797
A3_abs_r_q99_error,per-asset-mean,0.00047659,9.1e-05,0.0006011177720317002,0.0003773551859055342,0.00044786293794216983,0.00039107640077139726,0.0005655473464343031
A4_tail_qq_error,per-asset-mean,0.00022735,5.316e-05,0.000300714330333197,0.0001708254129357222,0.00019613083107914182,0.00018723328866855415,0.00028182452612595776
