metric,scope,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A6_path_mmd2,native,0.00519919,0.00115384,0.007307235669499423,0.0042386604898372315,0.004205308271024943,0.004741122953116905,0.0055036064547890895
A7_terminal_mmd2,native,0.01207079,0.00136245,0.014012759558444499,0.010872956480575624,0.010853870124962306,0.0111930450372979,0.013421310698940703
A8_increment_mmd2,native,1.4e-05,1.47e-06,1.6830576652360207e-05,1.2678528304999048e-05,1.3268327909932154e-05,1.332953228483369e-05,1.3908755911007376e-05
A9_volatility_mmd,native,0.04358698,0.0037254,0.047118805602792024,0.039360256239048486,0.03946606562609034,0.043706223403993105,0.04828356020550206
A10_terminal_swd,native,0.18552319,0.01162772,0.19578145248834025,0.1795363415083882,0.17092181260646275,0.17910389789920966,0.20227245594915874
A11_path_swd,native,0.12155566,0.00813058,0.13361090755817262,0.11836847463712022,0.11159365736957921,0.11597055968509959,0.12823469010170874
A20_cov_error,native,0.9411081,0.05798139,1.0055666485593415,0.9400845257140704,0.9246835235845072,0.8425079629638381,0.9926978410121495
A25_mean_rmse,native,0.08999063,0.02299042,0.04593207454813914,0.1135096484712059,0.09622683607175908,0.09905459499820192,0.09523001859009259
A18_disc_score_gru,native,0.0100084,0.00571642,0.019121,0.006103,0.002848,0.008544,0.013426
A18_disc_score_mlp,native,0.0139138,0.01157131,0.002034,0.034581,0.005289,0.017494,0.010171
A1_kurtosis_error,per-asset-mean,110.39534552,56.31211266,163.33806575397898,92.3494829996222,16.59618635462025,106.72805300959125,172.96493948765425
A2_abs_r_q95_error,per-asset-mean,0.00019742,3.34e-06,0.0002007266877042942,0.00019478035904481003,0.00019352048722102132,0.00019607720863777347,0.0002019967835357678
A3_abs_r_q99_error,per-asset-mean,0.00040906,2.775e-05,0.0004455604313135706,0.0003849588318014935,0.0003811550240376887,0.000394026522882172,0.00043960152789636667
A4_tail_qq_error,per-asset-mean,0.00020251,2.19e-06,0.00020452605476293113,0.00020057771984814535,0.00019999362468978821,0.00020187262341132874,0.0002055671195077606
A5_hill_tail_index_error,per-asset-mean,48.09866259,15.63562399,57.79692658337113,35.48361063993174,74.42761087303549,35.42055256178055,37.36461230969905
A12_rv_law_loss,per-asset-mean,0.00745105,0.00077439,0.007800670764383807,0.006842063258431247,0.00686019419718079,0.006928872309953061,0.008823466248251413
A13_mean_path_rmse,per-asset-mean,0.02106436,0.00699824,0.009799929340240082,0.029025347003586895,0.021921193467725524,0.0273317218189153,0.017243593286209367
A14_ks_logreturns,per-asset-mean,0.09327543,0.00012488,0.09341070220226377,0.09328286478838582,0.0932101352321194,0.09307492874425852,0.09339852721046588
A15_skewness_error,per-asset-mean,1.01268736,0.34533595,0.9869181943759334,1.0530758844072783,0.3876071953466245,1.2259044747010877,1.4099310650515209
A16_qq_rmse,per-asset-mean,0.00011777,1.57e-06,0.00011945866798273051,0.00011634715036546531,0.0001162486112295309,0.0001169138333773913,0.00011986541536721788
A17_terminal_ks,per-asset-mean,0.10083008,0.00370731,0.09493001302083334,0.10363769531250003,0.10416666666666667,0.09798177083333333,0.1034342447916667
A21_acf_abs,per-asset-mean,0.05386242,0.000669,0.05475374242688386,0.05444854290256275,0.052969773477260014,0.05331310665248096,0.053826923723014654
A22_acf_sq,per-asset-mean,0.04059648,0.00052593,0.04074076834554251,0.041553942613215405,0.04009897828533766,0.040206722431127086,0.0403819711070104
A23_acf_lag1_abs_error,per-asset-mean,0.12628611,0.0008784,0.12735497206211593,0.12654346707209105,0.12477704368148979,0.12679897466128484,0.12595608038618572
