metric,scope,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A6_path_mmd2,native,0.01097742,0.00152333,0.013588186610580477,0.010178614372952755,0.008989628955118345,0.01076393592939695,0.011366745992656968
A7_terminal_mmd2,native,0.01822196,0.00188529,0.02150196021455053,0.01746200426776734,0.015703723041070594,0.018438025279818415,0.018004104261708953
A8_increment_mmd2,native,5.621e-05,3.8e-06,6.015134173154024e-05,5.6492090473314605e-05,4.983692664439765e-05,5.464314256276026e-05,5.9902937289857405e-05
A9_volatility_mmd,native,0.04375755,0.0040928,0.050222760404173394,0.04107855031124186,0.03825682091918736,0.04337960456497214,0.045850005719523024
A10_terminal_swd,native,0.3105351,0.02765182,0.3523136746352709,0.3094233497877983,0.27034860702628677,0.29510679470165385,0.3254830942886124
A11_path_swd,native,0.16224358,0.01552732,0.18671087069548506,0.16122769135478016,0.14080510839755633,0.15274667749692925,0.16972753165588156
A20_cov_error,native,2.9119432,0.19080178,3.1258346404928132,3.0641225516735284,2.6403072775949044,2.732677559149356,2.996773950605758
A25_mean_rmse,native,0.09510515,0.01991147,0.13279466446327665,0.0878235188660655,0.07342330383903085,0.09017738696553144,0.09130685280564889
A18_disc_score_gru,native,0.2817738,0.21747551,0.455248,0.010985,0.462571,0.019935,0.46013
A18_disc_score_mlp,native,0.010822,0.00567006,0.002848,0.015867,0.005289,0.01668,0.013426
A1_kurtosis_error,per-asset-mean,23.12632602,0.13774224,23.314323014323488,22.93714236889835,23.037545777418895,23.24812855148634,23.094490410856967
A2_abs_r_q95_error,per-asset-mean,0.00079962,1.232e-05,0.0008207202784613786,0.000797295653064317,0.0007867456309390561,0.0007887543074681449,0.000804576360423599
A3_abs_r_q99_error,per-asset-mean,0.00180739,3.66e-05,0.0018480471333502946,0.001811705585384544,0.0017763600310323876,0.0017558810671803506,0.0018449649771691478
A4_tail_qq_error,per-asset-mean,0.00081798,1.182e-05,0.0008377198717157077,0.0008163960716288259,0.0008066386720697525,0.0008058017036477458,0.0008233611723939849
A5_hill_tail_index_error,per-asset-mean,115.89551421,3.34918637,120.6593507456452,115.88251508334893,111.60842365406981,112.93378154027931,118.39350004219258
A12_rv_law_loss,per-asset-mean,0.02214077,0.00037176,0.022677724583965483,0.022119770986806092,0.021768989984355863,0.021712542540098478,0.02242480033355833
A13_mean_path_rmse,per-asset-mean,0.01935499,0.00686973,0.032436533320243655,0.014543192148165329,0.01560946598683603,0.020044366573956994,0.014141392357814763
A14_ks_logreturns,per-asset-mean,0.1465316,0.00072707,0.1479716463664698,0.14627772053395666,0.14619601993110237,0.14622998175032803,0.1459826371801181
A15_skewness_error,per-asset-mean,0.24762252,0.01249373,0.24810701398242363,0.22507302072539218,0.2633904016908676,0.24948687020426022,0.2520553021268501
A16_qq_rmse,per-asset-mean,0.0003815,4.6e-06,0.0003891924581474594,0.000380680141989554,0.0003770441842263204,0.0003768891498237623,0.0003836808199823594
A17_terminal_ks,per-asset-mean,0.06184082,0.00450816,0.06994628906250001,0.061279296875000014,0.06254069010416669,0.05847167968750002,0.05696614583333334
A21_acf_abs,per-asset-mean,0.04923073,0.00108628,0.05087750709006727,0.04923993900132496,0.04759354813026274,0.04871758417223172,0.049725078725085074
A22_acf_sq,per-asset-mean,0.04351927,0.00086392,0.04485303722143985,0.04336210519087422,0.04229869754030376,0.04307359793530635,0.04400890327188095
A23_acf_lag1_abs_error,per-asset-mean,0.04642825,0.0013426,0.048900810737043006,0.045218022824776716,0.04523908582835454,0.046297231779833165,0.04648611008879829
A24_acf_lag1_sq_error,per-asset-mean,0.04687624,0.00147825,0.04949316990370558,0.04524464358701409,0.0456970604615477,0.0469163210227932,0.0470300207614898
A26_std_error,per-asset-mean,0.04244065,0.00059073,0.04331248372658204,0.042395906556331235,0.04182598209213633,0.041794854448017775,0.042874032570358225
A27_logreturn_std_error,per-asset-mean,0.00042318,5.55e-06,0.0004311178785658725,0.0004228974438368147,0.00041758215114693064,0.000416786632690803,0.00042752438340190217
A28_kurtosis_ratio,per-asset-mean,3.01387597,0.04266658,3.094713245541823,2.96782554129579,3.0002363627324087,2.998987509722539,3.007617192271863
A29_sigma_mean_error,per-asset-mean,0.00570001,6.335e-05,0.005808975902145727,0.005682313503215828,0.005628239402097655,0.005654649281695411,0.005725891082741766
A30_vol_path_rmse,per-asset-mean,0.30465591,0.01337025,0.3174036224660632,0.3117971902192333,0.29239584392087126,0.28501574410769376,0.3166671624792263
A31_rolling_vol_ks,per-asset-mean,0.31097984,0.0009211,0.31224130356537944,0.31036459656588755,0.3109531144139567,0.3116898368690718,0.3096503694529133
A32_vol_of_vol_error,per-asset-mean,0.00025444,4.5e-06,0.0002594338667763701,0.0002549845523725302,0.0002507030246928508,0.000248037152813752,0.0002590257599804945
B_log_ret_hist_funct,per-asset-mean,199068.43075134,128.84879391,199232.58716116042,198924.7649968904,199152.99674800623,199122.5631601447,198909.24169048874
B_log_ret_hist_der,per-asset-mean,380806.5095416,295.91002935,380680.9306115422,380426.3310722666,381148.5216022047,380617.15401043603,381159.6104115549
B_log_ret_hist_sec_der,per-asset-mean,1185769.70670483,817.04182871,1185444.5360105496,1184676.879639678,1186599.342187047,1185296.9459758243,1186830.8297110503
B_log_ret_hist_funct_pct,per-asset-mean,612633270.5528764,2299137.31854642,614554252.1627612,611180348.1535497,614125379.4905194,608782516.7366008,614523856.2209506
B_log_ret_hist_der_pct,per-asset-mean,6190633.45207011,1303638.45994458,4385998.165036684,7295316.4272658825,5092346.26241583,6316039.504792649,7863466.900839487
B_log_ret_hist_sec_der_pct,per-asset-mean,382294.46669781,265305.21873684,337738.11200792657,184494.2289662932,705759.05937247,23223.986551382917,660256.9465909592
B_log_ret_hist_funct_nrmse,per-asset-mean,9.83878339,0.00778976,9.852526273969541,9.835794695844555,9.836984807394261,9.83988529647296,9.828725883344422
B_log_ret_hist_der_nrmse,per-asset-mean,14.45501308,0.01599172,14.438131711099912,14.462992480457974,14.451533813709371,14.440694305572814,14.481713103582196
B_log_ret_hist_sec_der_nrmse,per-asset-mean,13.87966642,0.01900558,13.859623896696462,13.8898283469881,13.874095246212834,13.863406106762033,13.911378513599614
B_log_ret_hist_funct_cvar90,per-asset-mean,20.53501594,0.03371264,20.59450717572367,20.524249771337093,20.530224886257066,20.535847373169762,20.490250482316192
B_log_ret_hist_funct_cvar95,per-asset-mean,31.06652134,0.04706212,31.132300114679985,31.028991544770292,31.079227739675165,31.092620259348898,30.999467046259532
B_qq_plot_funct,per-asset-mean,1.9e-07,0.0,1.9193830043597142e-07,1.8491187412906366e-07,1.811558858744869e-07,1.7988039973520836e-07,1.88821496858595e-07
B_qq_plot_der,per-asset-mean,2e-08,0.0,1.5840375927672693e-08,1.5477831591033568e-08,1.4782915818414639e-08,1.4278371478525268e-08,1.6290859892328304e-08
B_qq_plot_sec_der,per-asset-mean,1e-08,0.0,8.56362583721439e-09,8.382025666684239e-09,8.200999994371364e-09,8.100607271780336e-09,8.883817996219034e-09
B_qq_plot_funct_pct,per-asset-mean,1764.30564389,4.68472575,1767.55944052035,1760.3283356281088,1761.1677130490543,1771.9820210528314,1760.4907091954447
B_qq_plot_der_pct,per-asset-mean,361.19216488,1.18679601,363.37388403445095,360.65716998259325,359.9452880761647,361.41748526676577,360.566997023541
B_qq_plot_sec_der_pct,per-asset-mean,83.80351564,0.91023035,84.41881927644513,83.45207834036255,83.66477200293934,82.3968166341042,85.08509195950566
B_qq_plot_funct_nrmse,per-asset-mean,20.51200272,0.25676455,20.892161006884866,20.48840910848036,20.263297354917302,20.216316985830517,20.6998291621649
B_qq_plot_der_nrmse,per-asset-mean,18.81910755,0.4541739,19.126782169030008,18.938743983316613,18.493455550091667,18.1314198733169,19.40513616125505
B_qq_plot_sec_der_nrmse,per-asset-mean,20.64683913,0.4786455,20.834668432775615,20.877091395087152,20.353077200776315,19.890709633348948,21.278649011068676
B_qq_plot_funct_cvar90,per-asset-mean,24.29640365,0.36098792,24.806546676824286,24.276858916374106,23.95487603963393,23.859114017857447,24.584622616117613
B_qq_plot_funct_cvar95,per-asset-mean,32.06828072,0.57430404,32.77456362516126,32.09969608334863,31.553756960992676,31.30107732008147,32.61230962848249
B_acf_abs_r_funct,per-asset-mean,0.00198949,8.085e-05,0.002103588602538961,0.0019940581917647026,0.0018517836452613618,0.0019832239674567624,0.002014804673320314
B_acf_abs_r_der,per-asset-mean,0.00011581,6.13e-06,0.0001236773132920835,0.00011986432542704668,0.00010854854527849551,0.00010868336325462095,0.00011825516501008018
B_acf_abs_r_sec_der,per-asset-mean,0.0003727,2.002e-05,0.0003982777308911326,0.0003869746176608423,0.00035024510544696497,0.0003483417056031795,0.0003796493936333987
B_acf_abs_r_funct_pct,per-asset-mean,1148.33387209,26.05018797,1158.4246329264058,1156.3140957806054,1099.1047822253363,1176.5350677565275,1151.2907817760183
B_acf_abs_r_der_pct,per-asset-mean,706.31137274,44.31885102,675.2494825250933,783.5962069454621,687.467113508528,659.8111033545492,725.4329573445848
B_acf_abs_r_sec_der_pct,per-asset-mean,99.7735961,3.43671179,104.49813569097267,102.48516019390834,97.11409417495813,95.05075322867692,99.7198372228855
B_acf_abs_r_funct_nrmse,per-asset-mean,53.40025516,1.07738711,54.91898520718525,53.484336319976876,51.55345482499526,53.36450390979901,53.679995533429064
B_acf_abs_r_der_nrmse,per-asset-mean,37.36337162,0.9463354,38.48356356966997,38.28936048597107,36.23952614234909,36.32035853237018,37.48404934999195
B_acf_abs_r_sec_der_nrmse,per-asset-mean,87.08381013,2.61359943,90.09589353156892,89.28376483062445,84.47678474599287,83.53938096503899,88.02322658723058
B_acf_abs_r_funct_cvar90,per-asset-mean,71.7637417,1.44782572,74.06577515191856,71.84293534625526,69.53522907467595,71.37318902609607,72.00157990104715
B_acf_abs_r_funct_cvar95,per-asset-mean,73.79386958,1.64654103,76.6717591418431,73.70288315752877,71.53537783665007,73.64049184051834,73.41883590566088
B_acf_sq_r_funct,per-asset-mean,0.00127914,4.375e-05,0.0013440602209472794,0.0012798437395885797,0.0012078984155244237,0.0012704551414639011,0.0012934401460833124
B_acf_sq_r_der,per-asset-mean,6.147e-05,4.82e-06,6.477863951636748e-05,6.703115100367802e-05,5.533158117754044e-05,5.604496374226105e-05,6.418219055359819e-05
B_acf_sq_r_sec_der,per-asset-mean,0.00018613,1.595e-05,0.00019889894488772105,0.00020222877323572565,0.00016478421616906497,0.00016884782161825736,0.00019590406984044967
B_acf_sq_r_funct_pct,per-asset-mean,1049.55110532,20.74234116,1075.163755858655,1042.4631041290227,1021.840282853278,1071.9612256680239,1036.3271580814803
B_acf_sq_r_der_pct,per-asset-mean,199.82396952,9.89749769,202.9786605663116,212.5779268856565,185.868624100155,191.0843470823554,206.61028898849054
B_acf_sq_r_sec_der_pct,per-asset-mean,101.33938209,5.9015167,107.23363410582847,106.99793551915494,92.49787438810668,96.41090263719968,103.55656380814214
B_acf_sq_r_funct_nrmse,per-asset-mean,52.60254213,0.88918193,53.92130520580585,52.63411409531162,51.144534943546944,52.45450193274513,52.85825447674432
B_acf_sq_r_der_nrmse,per-asset-mean,30.33729841,1.14273487,31.107815253385613,31.726454688037006,28.871820264945818,29.09098347988124,30.889418382110392
B_acf_sq_r_sec_der_nrmse,per-asset-mean,87.82248157,3.92424509,90.32037608337437,92.28940308143338,82.47991296521305,83.77509842357412,90.2476172892712
B_acf_sq_r_funct_cvar90,per-asset-mean,74.00983648,1.35943722,76.10457790187544,74.51395212115227,71.99194588450186,73.29648795159008,74.14221854558178
B_acf_sq_r_funct_cvar95,per-asset-mean,76.93636993,1.70784365,79.57462551690455,77.55531507868224,74.4157950464654,76.01327888371092,77.12283512131651
B_roll_vol_hist_funct,per-asset-mean,339813.02005932,1299.60261992,341268.3143877112,340016.9910054074,339610.9048349343,340694.2362352027,337474.65383333724
B_roll_vol_hist_der,per-asset-mean,20002.69033265,56.87715949,20030.56424513938,20014.82832073951,19890.39813938271,20042.639257109007,20035.02170085568
B_roll_vol_hist_sec_der,per-asset-mean,31713.39770488,272.65513649,31919.214079107875,31375.057258107114,31408.7368763458,32047.068259616215,31816.912051212606
B_roll_vol_hist_funct_pct,per-asset-mean,983929.40227562,87425.24483967,1145109.8082377429,948737.973480987,918659.5176276047,1003040.7833849085,904098.9286468602
B_roll_vol_hist_der_pct,per-asset-mean,20492695.67007393,1802596.21142713,19213014.32840315,17654906.38214638,21101012.125262924,22367694.326816037,22126851.18774113
B_roll_vol_hist_sec_der_pct,per-asset-mean,6770346.79835421,1025973.4847496,6273708.32647552,8512054.692723855,5775421.966697469,7338726.093597067,5951822.91227716
B_roll_vol_hist_funct_nrmse,per-asset-mean,22.23165852,0.03706988,22.281032967547155,22.238073502158272,22.215373173527972,22.25281122325549,22.171001747832662
B_roll_vol_hist_der_nrmse,per-asset-mean,20.41543985,0.02661183,20.41066200519033,20.443729851342944,20.398595905807767,20.44683213575593,20.377379360568792
B_roll_vol_hist_sec_der_nrmse,per-asset-mean,22.86893013,0.59600819,22.89691684489212,22.220820861693117,23.749126887798255,23.2617382645958,22.216047771729517
B_roll_vol_hist_funct_cvar90,per-asset-mean,57.25133718,0.11244916,57.41371986316314,57.30917136582175,57.2011018123809,57.2572878920116,57.07540497545357
B_roll_vol_hist_funct_cvar95,per-asset-mean,65.69460814,0.05360828,65.73746380136132,65.76996896860221,65.68623630448096,65.6590554641862,65.62031616977856
B_tail_surv_funct,per-asset-mean,0.04344287,0.00023043,0.04388172184281709,0.0433538420795027,0.0432912121406774,0.04344946342824402,0.043238086979662874
B_tail_surv_der,per-asset-mean,0.00017562,4.1e-07,0.00017601039530095009,0.00017594152700323325,0.0001755409571383139,0.0001748785418251665,0.0001757427905870219
B_tail_surv_sec_der,per-asset-mean,0.00024679,1.12e-06,0.0002465086994200328,0.00024784746310769763,0.00024703899103884055,0.00024478343292211926,0.00024777014804020013
B_tail_surv_funct_pct,per-asset-mean,68.57466165,0.42674674,69.41073598945215,68.38456461588643,68.20599416655665,68.41319635039903,68.45881714414415
B_tail_surv_der_pct,per-asset-mean,76.09924334,0.22257942,76.4464325970028,76.10770855708583,76.1508852215584,76.03961581843151,75.75157449734758
B_tail_surv_sec_der_pct,per-asset-mean,58509.86566101,275.03036642,58658.53760729538,58416.72639817371,58936.93415793957,58424.43487494131,58112.69526672379
B_tail_surv_funct_nrmse,per-asset-mean,25.0002079,0.06812192,25.130394717548427,24.971179209335197,24.956267029001204,25.001963705768976,24.94123483502861
B_tail_surv_der_nrmse,per-asset-mean,118.90584174,0.09022944,119.05789787644409,118.93114720298121,118.909786110582,118.79947508526391,118.83090243958553
B_tail_surv_sec_der_nrmse,per-asset-mean,171.13141837,0.34851465,170.75498778546722,171.45253869704078,171.29447226130964,170.67128117723,171.4838119478864
B_tail_surv_funct_cvar90,per-asset-mean,35.68889711,0.09395386,35.86987470093035,35.656760235390706,35.63948226844085,35.67769649209056,35.60067186808473
B_tail_surv_funct_cvar95,per-asset-mean,35.83858373,0.09450104,36.02041466546876,35.80987290673414,35.78563160006256,35.826870880763366,35.75012860125803
grid_tvd,per-asset-mean,8.19276174,0.38318129,8.65004857381185,7.957998911539713,8.589712778727215,7.637596130371094,8.12845230102539
A19_pred_score_gru,per-asset-mean,0.00784317,5.594e-05,0.00794725,0.007839125,0.0077963749999999995,0.007841,0.0077921250000000004
A19_pred_score_mlp,per-asset-mean,0.00841635,0.00028128,0.00874025,0.008109874999999999,0.008249875,0.008771875,0.008209875
